,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
73,silute,28,LT,1579996042,93,55.35,21.48,37.38,8.81
74,moindou,75,NC,1579996042,51,-21.69,165.68,86.0,8.05
75,luoyang,100,CN,1579996042,95,34.68,112.45,34.52,4.38
76,tigil,100,RU,1579996043,80,57.8,158.67,27.34,21.39
77,batagay,1,RU,1579996043,94,67.63,134.63,-42.81,2.28
78,esperance,86,AU,1579996043,88,-33.87,121.9,64.4,8.05
79,fort pierce,1,US,1579996043,51,27.45,-80.33,66.2,5.1
80,lorengau,12,PG,1579995928,73,-2.02,147.27,83.16,4.23
81,north battleford,90,CA,1579996043,92,52.78,-108.28,32.0,3.36
82,new norfolk,75,AU,1579995937,72,-42.78,147.06,73.0,9.17
83,kapuskasing,90,CA,1579995836,100,49.42,-82.43,28.4,4.7
84,kirchhundem,87,DE,1579996044,93,51.1,8.1,36.0,2.24
85,bolkhov,50,RU,1579996044,80,53.44,36.0,28.92,12.91
86,jalu,12,LY,1579996044,52,29.03,21.55,53.08,8.68
87,evensk,100,RU,1579995927,84,61.95,159.23,14.25,18.14
88,atasu,100,KZ,1579996044,96,48.68,71.64,6.8,14.0
89,ponta do sol,20,PT,1579996044,67,32.67,-17.1,59.0,8.05
90,port lincoln,41,AU,1579996044,67,-34.73,135.87,68.59,6.06
91,touros,75,BR,1579996044,83,-5.2,-35.46,82.4,4.7
92,saldanha,29,ZA,1579996033,82,-33.01,17.94,62.6,3.36
93,sur,4,OM,1579995866,82,22.57,59.53,67.23,4.74
94,innisfail,100,AU,1579996045,68,-17.53,146.03,86.0,2.75
95,lubbock,20,US,1579995793,22,33.6,-101.83,64.4,16.11
96,san patricio,75,MX,1579996045,74,19.22,-104.7,84.2,11.41
97,butaritari,12,KI,1579996045,72,3.07,172.79,85.03,10.56
98,port augusta,90,AU,1579996046,73,-32.5,137.77,80.01,11.41
99,kavaratti,88,IN,1579996046,67,10.57,72.64,80.8,3.0
100,airai,100,TL,1579996046,76,-8.93,125.41,76.33,1.03
101,kamenka,79,RU,1579996046,85,51.32,42.77,35.01,8.99
102,bambous virieux,40,MU,1579995941,83,-20.34,57.76,77.0,13.87
103,antalaha,100,MG,1579996046,78,-14.9,50.28,80.56,16.49
104,kodiak,90,US,1579996046,62,57.79,-152.41,19.4,23.04
105,baykit,100,RU,1579996047,88,61.67,96.37,13.75,8.08
106,carnarvon,15,AU,1579996047,78,-24.87,113.63,77.0,13.87
107,cabo san lucas,40,MX,1579996030,73,22.89,-109.91,73.4,9.17
108,coquimbo,40,CL,1579996040,82,-29.95,-71.34,66.2,11.41
109,hermanus,46,ZA,1579996047,78,-34.42,19.23,64.0,3.0
110,baruun-urt,0,MN,1579996047,83,46.68,113.28,7.63,10.36
111,ilulissat,96,GL,1579996047,43,69.22,-51.1,10.4,10.29
112,hongjiang,99,CN,1579996047,94,27.11,110.0,34.79,5.44
113,winsum,90,NL,1579996047,93,53.33,6.52,37.4,9.17
114,richards bay,2,ZA,1579996048,80,-28.78,32.04,76.87,27.11
115,tasiilaq,100,GL,1579996048,73,65.61,-37.64,26.6,13.87
116,umm lajj,0,SA,1579996048,28,25.02,37.27,50.36,14.23
117,sobolevo,49,RU,1579996048,84,54.43,31.9,29.46,10.58
118,qaanaaq,0,GL,1579996014,44,77.48,-69.36,-12.51,5.12
119,krasnovishersk,100,RU,1579996048,96,60.41,57.08,8.38,2.73
120,paamiut,93,GL,1579996048,64,61.99,-49.67,18.07,21.72
121,calvinia,25,ZA,1579996049,74,-31.47,19.78,59.86,17.18
122,port hedland,0,AU,1579995785,83,-20.32,118.57,84.2,9.17
123,narsaq,92,GL,1579996049,67,60.92,-46.05,19.4,11.41
124,provideniya,0,RU,1579996049,68,64.38,-173.3,-4.65,3.67
125,bosaso,32,SO,1579996050,77,11.28,49.18,76.23,2.06
126,fortuna,90,US,1579996051,93,40.6,-124.16,60.01,3.36
127,paita,46,PE,1579996051,100,-5.09,-81.11,62.6,13.87
128,mokolo,0,CM,1579996051,17,10.74,13.8,57.9,6.42
129,lebu,0,CL,1579996051,69,-37.62,-73.65,64.08,10.94
130,fez,40,MA,1579996051,81,34.04,-5.0,50.0,10.29
131,ancud,100,CL,1579996051,68,-41.87,-73.82,66.2,6.93
132,ribeira grande,100,PT,1579996051,73,38.52,-28.7,54.72,5.19
133,ipixuna,75,BR,1579996051,88,-1.76,-48.8,80.6,6.93
134,port blair,100,IN,1579996052,71,11.67,92.75,77.9,14.29
135,kiunga,99,PG,1579996049,78,-6.12,141.29,81.95,0.89
136,sisimiut,100,GL,1579995791,95,66.94,-53.67,4.86,6.69
137,pevek,100,RU,1579995991,96,69.7,170.31,-13.14,1.79
138,torbay,5,CA,1579995801,72,47.67,-52.73,19.99,17.22
139,siocon,0,PH,1579996052,78,7.71,122.14,80.69,4.38
140,yulara,0,AU,1579996052,16,-25.24,130.99,84.2,13.87
141,mokhsogollokh,3,RU,1579996053,95,61.47,128.92,-39.6,2.8
142,mwinilunga,100,ZM,1579996053,98,-11.74,24.43,64.04,1.9
143,moron,1,AR,1579996053,83,-34.65,-58.62,84.0,14.99
144,tateyama,75,JP,1579996053,93,34.98,139.87,39.99,8.05
145,narva-joesuu,32,EE,1579995994,77,59.46,28.04,34.83,15.64
146,rawson,0,AR,1579995772,37,-43.3,-65.1,76.14,14.97
147,thompson,90,CA,1579996053,92,55.74,-97.86,15.8,3.69
148,arman,100,RU,1579996054,95,59.7,150.17,-4.92,20.83
149,mar del plata,0,AR,1579996054,52,-38.0,-57.56,69.8,13.87
150,kremnica,90,SK,1579996054,86,48.71,18.92,28.99,1.12
151,port elizabeth,75,ZA,1579996054,94,-33.92,25.57,68.0,16.11
152,vanavara,100,RU,1579996054,94,60.34,102.28,25.12,13.58
153,san ignacio,20,BZ,1579996054,65,17.16,-89.07,82.4,6.93
154,lompoc,1,US,1579995960,52,34.64,-120.46,70.0,8.05
155,sitka,90,US,1579996054,86,57.05,-135.33,39.2,18.34
156,chuy,24,UY,1579996055,76,-33.7,-53.46,67.91,7.36
157,georgetown,20,MY,1579996055,88,5.41,100.34,78.8,3.02
158,hilo,90,US,1579995840,57,19.73,-155.09,80.6,9.17
159,develi,0,TR,1579996055,79,38.39,35.49,19.4,2.24
160,russell,1,US,1579995926,53,32.35,-85.2,50.0,3.36
161,jasper,90,US,1579996055,74,37.2,-94.35,44.6,4.7
162,port alfred,0,ZA,1579996021,98,-33.59,26.89,64.99,5.01
163,victoria,75,HK,1579995836,87,22.29,114.16,62.01,25.28
164,faanui,22,PF,1579996056,76,-16.48,-151.75,82.45,11.21
165,te anau,90,NZ,1579996056,80,-45.42,167.72,62.67,4.34
166,harper,62,LR,1579996056,96,4.38,-7.72,77.23,1.39
167,westport,90,US,1579995783,100,41.14,-73.36,52.0,3.36
168,salalah,75,OM,1579995941,78,17.02,54.09,77.0,5.82
169,batagay-alyta,0,RU,1579996056,54,67.8,130.41,-34.38,4.38
170,puquio,100,PE,1579996057,97,-14.7,-74.13,36.36,4.94
171,borogontsy,7,RU,1579996057,96,62.67,131.17,-42.0,3.49
172,sopelana,99,ES,1579996057,93,43.38,-2.98,50.0,3.36
173,leningradskiy,97,RU,1579996057,95,69.38,178.42,-12.41,4.21
174,tiksi,0,RU,1579995816,67,71.69,128.87,-26.52,5.5
175,albany,90,US,1579996057,86,42.6,-73.97,39.99,11.41
176,isangel,33,VU,1579996058,83,-19.55,169.27,78.57,13.71
177,saint-francois,86,FR,1579996030,90,46.42,3.91,42.01,3.36
178,khasan,0,RU,1579996058,76,42.43,130.64,13.93,4.88
179,puerto leguizamo,100,CO,1579996058,84,-0.19,-74.78,77.9,2.04
180,west helena,1,US,1579996058,75,34.55,-90.64,46.99,4.74
181,camocim,96,BR,1579996058,94,-2.9,-40.84,76.8,4.88
182,dikson,100,RU,1579996058,96,73.51,80.55,-7.82,7.07
183,klaeng,89,TH,1579996059,10,12.78,101.65,82.0,4.36
184,petropavlovsk-kamchatskiy,20,RU,1579996059,73,53.05,158.65,23.0,6.71
185,makakilo city,90,US,1579996012,65,21.35,-158.09,82.4,4.7
186,kenora,90,CA,1579996059,92,49.82,-94.43,21.2,8.05
187,orchard homes,90,US,1579995929,100,46.86,-114.05,42.8,2.62
188,chalons-en-champagne,73,FR,1579996059,93,48.95,4.37,41.0,6.93
189,kavieng,95,PG,1579996059,71,-2.57,150.8,84.36,8.97
190,riyadh,0,SA,1579995907,33,24.69,46.72,46.4,10.29
191,buala,6,SB,1579996060,63,-8.14,159.59,86.49,2.57
192,ambilobe,99,MG,1579996060,95,-13.2,49.05,74.59,4.7
193,skagen,100,DK,1579996060,92,57.72,10.58,44.01,20.0
194,sigulda,2,LV,1579996060,100,57.15,24.86,34.0,5.82
195,luxor,0,EG,1579996060,66,25.7,32.64,50.0,4.7
196,sanmenxia,100,CN,1579996060,90,34.77,111.18,33.46,3.0
197,panlaitan,48,PH,1579996060,76,12.12,119.85,80.46,2.64
198,severo-kurilsk,100,RU,1579996061,92,50.68,156.12,18.72,43.49
199,tavda,98,RU,1579996061,94,58.04,65.27,8.82,6.69
200,maceio,75,BR,1579995827,88,-9.67,-35.74,80.6,6.93
201,east london,0,ZA,1579996061,80,-33.02,27.91,75.58,15.05
202,talnakh,75,RU,1579996024,84,69.49,88.4,3.2,8.95
203,bima,70,ID,1579996061,87,-8.47,118.72,78.49,2.84
204,miri,75,MY,1579996043,100,4.41,114.01,77.0,2.24
205,lerik,40,AZ,1579996062,86,38.77,48.41,28.4,3.36
206,paragominas,100,BR,1579996062,93,-2.97,-47.48,75.54,4.18
207,adra,20,ES,1579996062,87,36.75,-3.02,51.8,3.36
208,talas,0,TR,1579996062,79,38.69,35.55,19.4,2.24
209,marquette,90,US,1579996062,95,46.53,-87.63,33.01,9.17
210,bengkulu,88,ID,1579996050,89,-3.8,102.27,74.98,2.44
211,aksarka,84,RU,1579996063,100,66.56,67.8,-7.78,4.27
212,letka,100,RU,1579996037,96,59.6,49.42,12.27,4.99
213,ambanja,100,MG,1579996063,84,-13.68,48.45,78.78,4.76
214,karla,57,EE,1579996063,76,59.37,24.93,35.01,3.36
215,newport,90,GB,1579995943,100,51.59,-3.0,46.99,8.05
216,rio do sul,1,BR,1579996064,97,-27.21,-49.64,63.52,3.49
217,clyde river,5,CA,1579995939,61,70.47,-68.59,-23.8,4.7
218,souillac,40,MU,1579996061,83,-20.52,57.52,77.0,13.87
219,tual,80,ID,1579996064,65,-5.67,132.75,84.99,5.55
220,nikolskoye,40,RU,1579996064,86,59.7,30.79,30.0,6.71
221,cheremukhovo,100,RU,1579996064,97,60.35,59.99,1.15,3.02
222,cherskiy,100,RU,1579995927,95,68.75,161.3,-20.88,2.28
223,nago,90,JP,1579996065,94,26.59,127.98,73.4,6.93
224,bukachacha,26,RU,1579996065,98,52.98,116.92,-10.68,1.97
225,horqueta,0,PY,1579996065,42,-23.34,-57.06,79.11,1.72
226,belaya gora,100,RU,1579996065,96,68.53,146.42,-28.03,3.58
227,baoqing,19,CN,1579996065,77,46.33,132.21,1.26,4.16
228,longyearbyen,0,SJ,1579995784,64,78.22,15.64,-2.2,5.82
229,mahebourg,40,MU,1579996066,83,-20.41,57.7,77.0,13.87
230,san juan,3,AR,1579996066,21,-31.54,-68.54,94.66,13.53
231,mangrol,0,IN,1579996066,53,21.12,70.12,70.93,14.9
232,xinzhi,100,CN,1579996066,92,36.5,111.7,27.23,4.36
233,cidreira,60,BR,1579996031,73,-30.18,-50.21,74.77,18.75
234,holme,100,DK,1579995955,93,56.11,10.17,42.8,6.93
235,nawa,0,IN,1579996067,50,27.02,75.0,50.27,2.26
236,sao desiderio,100,BR,1579996067,89,-12.36,-44.97,71.33,0.58
237,qom,0,IR,1579996067,62,34.64,50.88,35.62,6.08
238,port-gentil,40,GA,1579996067,88,-0.72,8.78,82.4,5.82
239,cabedelo,75,BR,1579996067,83,-6.98,-34.83,82.4,9.17
240,cockburn town,0,TC,1579996067,71,21.46,-71.14,76.05,9.28
241,asau,65,RO,1579996014,86,46.43,26.4,27.0,3.36
242,burnie,98,AU,1579996067,71,-41.07,145.92,69.01,11.01
243,torres,62,BR,1579996068,71,-29.34,-49.73,74.98,14.36
244,zaltan,100,LY,1579996068,50,32.95,11.87,63.36,6.55
245,saint george,1,US,1579996068,29,37.1,-113.58,60.8,4.7
246,haines junction,99,CA,1579996045,99,60.75,-137.51,-15.11,5.93
247,pangnirtung,100,CA,1579996055,99,66.15,-65.71,-37.07,1.57
248,tucumcari,1,US,1579996068,20,35.17,-103.72,64.4,12.75
249,mawlaik,0,MM,1579996068,79,23.63,94.42,47.17,1.41
250,itaobim,95,BR,1579996069,92,-16.57,-41.83,69.57,2.68
251,chokurdakh,85,RU,1579996030,82,70.63,147.92,-26.25,4.25
252,lagoa,100,PT,1579996018,67,39.05,-27.98,58.33,10.18
253,tautira,20,PF,1579996069,66,-17.73,-149.15,87.8,12.75
254,steamboat springs,40,US,1579996018,96,40.48,-106.83,35.6,3.36
255,sandwick,95,GB,1579996069,87,60.0,-1.25,46.4,18.34
256,tuatapere,78,NZ,1579996069,47,-46.13,167.68,72.34,3.47
257,roma,90,US,1579996021,100,43.21,-75.46,35.01,5.82
258,kenai,1,US,1579996070,50,60.55,-151.26,9.0,16.11
259,lyngseidet,99,NO,1579996070,85,69.58,20.22,15.8,5.82
260,tiarei,20,PF,1579995984,66,-17.53,-149.33,87.8,12.75
261,tahe,0,CN,1579996044,92,52.33,124.73,-10.82,1.12
262,katsuura,75,JP,1579996035,93,35.13,140.3,39.99,8.05
263,la palma,75,US,1579996070,56,33.85,-118.05,75.2,4.7
264,navashino,78,RU,1579996070,83,55.53,42.2,27.27,18.25
265,mayumba,96,GA,1579996071,79,-3.43,10.66,83.28,7.16
266,sola,80,VU,1579996071,78,-13.88,167.55,82.18,11.77
267,loikaw,0,MM,1579996071,26,19.67,97.21,45.54,1.34
268,sao filipe,33,CV,1579995943,61,14.9,-24.5,74.32,15.77
269,west wendover,90,US,1579996071,93,40.74,-114.07,35.6,2.73
270,kaeo,56,NZ,1579995966,60,-35.1,173.78,93.99,1.01
271,tura,0,IN,1579996062,78,25.52,90.22,52.34,1.59
272,kantang,20,TH,1579996072,100,7.41,99.52,71.6,4.7
273,hay river,90,CA,1579995921,92,60.82,-115.8,12.2,3.89
274,dongying,100,CN,1579996072,74,37.46,118.49,33.1,6.8
275,geraldton,75,AU,1579996019,88,-28.77,114.6,66.2,9.17
276,san quintin,45,MX,1579996073,64,30.48,-115.95,63.77,5.68
277,maniitsoq,100,GL,1579996073,88,65.42,-52.9,13.51,8.16
278,corrales,1,US,1579996073,29,35.24,-106.61,57.2,19.46
279,antofagasta,75,CL,1579995775,83,-23.65,-70.4,72.0,6.93
280,persianovskiy,75,RU,1579996074,74,47.51,40.11,37.4,15.66
281,sechura,32,PE,1579996061,87,-5.56,-80.82,74.34,14.65
282,vila velha,75,BR,1579996074,94,-20.33,-40.29,71.6,9.17
283,yaring,34,TH,1579996074,83,6.87,101.37,77.14,4.41
284,moroni,100,KM,1579996074,76,-11.7,43.26,79.05,3.71
285,ostersund,100,SE,1579996074,69,63.18,14.64,37.99,12.75
286,denpasar,20,ID,1579995938,83,-8.65,115.22,82.4,3.36
287,eydhafushi,100,MV,1579995895,70,5.1,73.07,81.86,10.2
288,kalmunai,75,LK,1579996075,70,7.42,81.82,79.75,14.34
289,crotone,99,IT,1579996075,84,39.09,17.12,55.27,10.63
290,vanino,67,RU,1579996075,68,49.09,140.25,0.82,3.51
291,chilca,75,PE,1579996075,73,-12.52,-76.74,77.0,17.22
292,maiduguri,4,NG,1579996075,44,11.85,13.16,61.68,10.0
293,uusikaupunki,99,FI,1579996075,74,60.8,21.41,35.6,8.05
294,shadrinsk,87,RU,1579996076,93,56.09,63.63,7.75,9.93
295,husavik,90,IS,1579996041,92,66.04,-17.34,30.2,6.93
296,guerrero negro,0,MX,1579996076,53,27.98,-114.06,67.24,10.31
297,viransehir,0,TR,1579996076,51,37.24,39.76,34.93,5.73
298,belyy yar,100,RU,1579996076,85,53.6,91.39,17.6,2.24
299,acu,40,BR,1579995947,70,-5.58,-36.91,87.8,13.87
300,kralendijk,25,BQ,1579996077,78,12.15,-68.27,78.8,5.82
301,plettenberg bay,45,ZA,1579996077,85,-34.05,23.37,67.69,8.95
302,benidorm,85,ES,1579996077,93,38.54,-0.13,54.0,5.82
303,atlantis,75,ZA,1579996077,82,-33.57,18.48,66.0,12.75
304,govindgarh,0,IN,1579996077,58,27.5,76.98,50.74,2.15
305,zhob,0,PK,1579995852,80,31.34,69.45,37.92,2.42
306,los llanos de aridane,75,ES,1579996018,59,28.66,-17.92,62.6,3.36
307,qiongshan,90,CN,1579996078,87,20.01,110.35,59.0,8.95
308,kayerkan,75,RU,1579996078,84,69.35,87.76,3.2,8.95
309,privodino,100,RU,1579996078,95,61.08,46.5,13.68,5.97
310,waingapu,61,ID,1579996078,76,-9.66,120.26,83.35,6.35
311,pilar,75,BR,1579996078,88,-9.6,-35.96,80.6,6.93
312,synya,88,RU,1579996078,99,65.37,58.04,-9.2,0.98
313,marsabit,100,KE,1579996078,69,2.33,37.99,75.96,14.09
314,fairbanks,1,US,1579996079,74,64.84,-147.72,-7.01,5.28
315,puerto cabello,52,VE,1579996079,77,10.47,-68.01,75.16,4.68
316,natal,75,BR,1579996079,83,-5.79,-35.21,82.4,10.29
317,idah,30,NG,1579996079,17,7.11,6.73,68.83,1.16
318,ejido,100,VE,1579996079,98,8.55,-71.24,52.88,1.43
319,lavrentiya,0,RU,1579996079,76,65.58,-171.0,-13.2,2.26
320,tuktoyaktuk,90,CA,1579995850,75,69.45,-133.04,-13.0,24.16
321,biak,27,ID,1579996080,78,-0.91,122.88,81.3,3.8
322,destin,1,US,1579995820,57,30.39,-86.5,57.2,5.01
323,baijiantan,93,CN,1579996080,87,45.63,85.18,8.69,1.45
324,rimbey,5,CA,1579996080,55,52.63,-114.24,35.6,2.24
325,sakakah,75,SA,1579996010,61,29.97,40.21,46.4,4.7
326,kruisfontein,27,ZA,1579995948,86,-34.0,24.73,66.63,22.3
327,lodja,70,CD,1579996081,65,-3.48,23.43,71.94,1.7
328,molina,0,CL,1579996081,18,-35.12,-71.28,89.6,10.29
329,tukrah,55,LY,1579996081,61,32.53,20.58,53.33,12.93
330,cabatuan,43,PH,1579996081,84,10.88,122.49,78.64,5.7
331,chardara,100,KZ,1579996081,88,41.25,67.97,32.83,7.58
332,tigre,20,AR,1579996081,88,-34.43,-58.58,84.0,14.99
333,lata,0,PT,1579996082,93,40.16,-8.33,50.0,3.36
334,shenjiamen,100,CN,1579996082,89,29.96,122.3,54.79,20.92
335,camacha,20,PT,1579996082,77,33.08,-16.33,59.0,9.17
336,pisco,75,PE,1579996082,30,-13.7,-76.22,75.0,19.46
337,spornoye,90,RU,1579996082,86,50.84,37.29,33.8,17.9
338,lanzhou,40,CN,1579996082,92,36.06,103.79,24.01,1.72
339,olinda,75,BR,1579995824,79,-8.01,-34.86,84.2,9.17
340,mana,73,GF,1579996082,95,5.66,-53.78,74.41,2.82
341,xingyi,89,CN,1579996083,91,24.19,102.82,37.99,3.0
342,vila,40,PT,1579996060,100,42.03,-8.16,51.01,5.82
343,labuhan,100,ID,1579996083,91,-6.88,112.21,75.97,3.78
344,great yarmouth,100,GB,1579996083,93,52.61,1.73,43.0,12.75
345,nanortalik,100,GL,1579995930,75,60.14,-45.24,23.04,13.27
346,danville,1,US,1579996084,56,36.59,-79.39,51.8,4.7
347,katobu,86,ID,1579996040,77,-4.94,122.53,83.19,1.45
348,aripuana,100,BR,1579996084,96,-9.17,-60.63,76.17,1.1
349,mapiripan,83,CO,1579996084,54,2.89,-72.13,83.1,5.93
350,mantua,75,IT,1579996084,100,45.17,10.78,46.0,2.24
351,pueblo rico,40,CO,1579996084,69,5.24,-76.04,78.8,6.93
352,pahrump,1,US,1579996084,18,36.21,-115.98,69.01,2.15
353,healdsburg,90,US,1579996085,93,38.61,-122.87,64.99,2.75
354,sol-iletsk,100,RU,1579996085,96,51.16,54.99,29.88,18.63
355,mount gambier,90,AU,1579996068,88,-37.83,140.77,64.4,9.17
356,san rafael,0,AR,1579996085,21,-34.62,-68.33,85.19,8.16
357,araouane,100,ML,1579995975,9,18.9,-3.53,75.96,5.03
358,takapau,0,NZ,1579996085,53,-40.03,176.35,82.99,4.0
359,florianopolis,7,BR,1579995791,78,-27.61,-48.5,75.99,3.36
360,cayenne,75,GF,1579996025,94,4.93,-52.33,75.2,5.82
361,nemuro,100,JP,1579996086,68,43.32,145.57,17.28,15.99
362,coffs harbour,7,AU,1579996086,74,-30.3,153.13,84.99,11.41
363,kushima,75,JP,1579996086,76,31.46,131.23,51.8,6.93
364,vostok,0,RU,1579996050,85,46.49,135.88,-5.76,5.14
365,moctezuma,1,MX,1579996086,41,29.8,-109.67,65.16,5.5
366,alice springs,0,AU,1579996086,15,-23.7,133.88,82.4,9.17
367,aswan,0,EG,1579995982,66,24.09,32.91,49.6,10.78
368,gurmatkal,97,IN,1579996087,66,16.87,77.4,67.87,8.1
369,pandan,67,PH,1579996087,81,14.05,124.17,79.07,2.73
370,balikpapan,40,ID,1579996087,100,-1.27,116.83,78.8,4.7
371,maloy,100,NO,1579996087,100,61.94,5.11,45.0,26.4
372,pontianak,75,ID,1579996087,94,-0.03,109.33,77.0,2.62
373,eidsvag,100,NO,1579996088,75,62.78,8.07,46.4,35.57
374,sakaiminato,75,JP,1579996088,93,35.55,133.23,41.0,3.36
375,vagamo,100,NO,1579996088,98,61.88,9.1,16.41,3.33
376,orlik,100,RU,1579996088,62,52.52,99.83,4.14,1.95
377,coahuayana,75,MX,1579996088,69,18.73,-103.68,75.2,11.41
378,satipo,100,PE,1579996088,97,-11.25,-74.64,63.55,1.83
379,shieli,67,KZ,1579996088,95,44.17,66.75,25.41,10.38
380,broken hill,0,AU,1579996029,31,-31.95,141.43,78.8,12.75
381,tuymazy,66,RU,1579996089,95,54.61,53.71,15.73,4.5
382,hami,0,CN,1579996089,75,42.8,93.45,6.49,1.86
383,gazli,24,UZ,1579996089,78,40.13,63.45,26.87,2.3
384,constitucion,0,CL,1579996089,72,-35.33,-72.42,62.11,8.48
385,saint-augustin,36,CA,1579996064,78,51.23,-58.65,15.12,11.12
386,adrar,83,MR,1579995792,21,20.5,-10.07,76.23,11.05
